Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 28, 2025 - January 15, 2026"
Statement,Data,WhenGenerated,"2026-01-16, 08:35:29 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,U20993660
Account Information,Data,Master Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account Type,Institution Client
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,1757.53447913,0,1757.53447913,1757.53447913
Net Asset Value,Data,Stock,0,328605.28,0,328605.28,328605.28
Net Asset Value,Data,Dividend Accruals,0,116.53,0,116.53,116.53
Net Asset Value,Data,Total,0,330479.34447913,0,330479.34447913,330479.34447913
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,10.159781493%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Mark-to-Market,28207.5789
Change in NAV,Data,Deposits & Withdrawals,300000
Change in NAV,Data,Dividends,432.26
Change in NAV,Data,Withholding Tax,-61.7
Change in NAV,Data,Change in Dividend Accruals,116.52
Change in NAV,Data,Interest,2696.81
Change in NAV,Data,Other Fees,-1.08
Change in NAV,Data,Commissions,-899.54435387
Change in NAV,Data,Transaction Fees,-11.510067
Change in NAV,Data,Other FX Translations,0.01
Change in NAV,Data,Ending Value,330479.34447913
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,AAPL,0,25,--,258.2100,-16.47,-22.9952,-13.002408,1.55,-50.917608,
Mark-to-Market Performance Summary,Data,Stocks,ABBV,0,12,--,216.7500,-6.21,3.5204,-7.00116,4.18,-5.51076,
Mark-to-Market Performance Summary,Data,Stocks,ABT,0,18,--,123.5300,-108.35,26.8324,-6.001226,2.51,-85.008826,
Mark-to-Market Performance Summary,Data,Stocks,ACN,0,6,--,287.7700,122.7,-4.103,-6.000486,2.45,115.046514,
Mark-to-Market Performance Summary,Data,Stocks,ADBE,0,4,--,304.0900,-169.35,15.745,-6.000276,0,-159.605276,
Mark-to-Market Performance Summary,Data,Stocks,ADI,0,5,--,302.1000,224.84,-2.9213,-10.000906,2.52,214.437794,
Mark-to-Market Performance Summary,Data,Stocks,ADP,0,5,--,260.2000,-32.3,-0.3526,-7.000486,4.33,-35.323086,
Mark-to-Market Performance Summary,Data,Stocks,ALC,0,0,--,--,-18.64,3.6,-3.00168,0,-18.04168,
Mark-to-Market Performance Summary,Data,Stocks,AMAT,0,8,--,319.0800,1115.65,-4.665,-9.001167,2.74,1104.723833,
Mark-to-Market Performance Summary,Data,Stocks,AMD,0,57,--,227.9200,3430.11,-793.9344,-16.0206,0,2620.155,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,0,6,--,330.0300,140.01,9.784,-7.000486,6.07,148.863514,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,0,56,--,238.1800,80.7,32.7045,-11.01976,0,102.38474,
Mark-to-Market Performance Summary,Data,Stocks,ANET,0,12,--,130.5900,4.03,-13.1235,-6.00053,0,-15.09403,
Mark-to-Market Performance Summary,Data,Stocks,APD,0,0,--,--,-7.92,7.3,-3.00042,0,-3.62042,
Mark-to-Market Performance Summary,Data,Stocks,APH,0,13,--,154.2200,341.8,-1.71,-5.000552,3.6,338.689448,
Mark-to-Market Performance Summary,Data,Stocks,APP,0,2,--,606.9900,-54.325,-6.005,-2.000022,0,-62.330022,
Mark-to-Market Performance Summary,Data,Stocks,ARM,0,14,--,105.1100,-356.43,-46.29,-8.000784,0,-410.720784,
Mark-to-Market Performance Summary,Data,Stocks,ASML,0,8,--,"1,331.6000",3399.77,54.799,-10.001934,3.17,3447.737066,
Mark-to-Market Performance Summary,Data,Stocks,AVGO,0,24,--,343.0200,816.46,-55.9602,-14.008672,20.28,766.771128,
Mark-to-Market Performance Summary,Data,Stocks,AZN,0,26,--,93.9900,239.03,17.26,-8.923902,0,247.366098,
Mark-to-Market Performance Summary,Data,Stocks,BA,0,40,--,247.7400,1712.32,61.6461,-7.002562,0,1766.963538,
Mark-to-Market Performance Summary,Data,Stocks,BABA,0,35,--,170.9300,713.96,-41.3132,-5.001822,0,667.644978,
Mark-to-Market Performance Summary,Data,Stocks,BSX,0,3,--,90.0300,-15.81,-2.1693,-2.880715,0,-20.860015,
Mark-to-Market Performance Summary,Data,Stocks,BYDDY,0,199,--,12.8400,95.77,-12.79,-10.04995897,0,72.93004103,
Mark-to-Market Performance Summary,Data,Stocks,CAT,0,3,--,647.1800,392.26,-25.845,-3.000232,1.28,364.694768,
Mark-to-Market Performance Summary,Data,Stocks,CEG,0,0,--,--,48.18,-2.48,-3.00042,0,42.69958,
Mark-to-Market Performance Summary,Data,Stocks,CL,0,0,--,--,-27.1,1,-3.0021,0,-29.1021,
Mark-to-Market Performance Summary,Data,Stocks,CMCSA,0,68,--,28.3500,32.0132,21.225,-8.634285,7.57,52.173915,
Mark-to-Market Performance Summary,Data,Stocks,CMG,0,0,--,--,-6.3,-21.24,-3.00378,0,-30.54378,
Mark-to-Market Performance Summary,Data,Stocks,COP,0,19,--,98.9300,131.25,-24.4522,-7.001458,6.43,106.226342,
Mark-to-Market Performance Summary,Data,Stocks,COR,0,0,--,--,-15.72,12.96,-3.00042,0,-5.76042,
Mark-to-Market Performance Summary,Data,Stocks,CORT,0,21,--,35.3900,-302.17,-11.86,-6.869362,0,-320.899362,
Mark-to-Market Performance Summary,Data,Stocks,COST,0,3,--,956.7500,106.97,1.919,-7.000464,1.1,102.988536,
Mark-to-Market Performance Summary,Data,Stocks,CRM,0,9,--,233.5300,-194.81,-30.175,-6.000718,4.59,-226.395718,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,0,3,--,455.0000,-1.59,3.015,-7.000862,0,-5.575862,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,0,31,--,75.2500,60.15,9.1187,-10.795059,5.23,63.703641,
